timeStep faceId meshDensityCounting-PID4 meshDensityCounting-PID7 meshDensityCounting-PID10 meshDensityCounting-PID13 meshDensityCounting-PID16
6 39 NA NA NA NA 0
6 40 NA NA NA NA 0
6 41 NA NA NA NA 0
6 42 NA NA NA NA 0
6 43 NA NA NA NA 0
6 44 NA NA NA NA 0
6 45 NA NA NA NA 0
6 46 NA NA NA NA 0
6 47 NA NA NA NA 0
6 48 NA NA NA NA 0
6 49 NA NA NA NA 0
6 50 NA NA NA NA 0
6 51 NA NA NA NA 0
6 52 NA NA NA NA 0
6 53 NA NA NA NA 0
6 54 NA NA NA NA 0
6 55 NA NA NA NA 8
6 56 NA NA NA NA 22
6 57 NA NA NA NA 21
6 58 NA NA NA NA 26
6 59 NA NA NA NA 0
6 60 NA NA NA NA 24
6 61 NA NA NA NA 24
6 62 NA NA NA NA 24
6 63 NA NA NA NA 29
6 64 NA NA NA NA 28
6 65 NA NA NA NA 12
6 66 NA NA NA NA 23
6 67 NA NA NA NA 16
6 68 NA NA NA NA 29
6 69 NA NA NA NA 15
6 70 NA NA NA NA 31
6 71 NA NA NA NA 29
6 72 NA NA NA NA 20
6 73 NA NA NA NA 8
6 74 NA NA NA NA 18
6 75 NA NA NA NA 26
6 76 NA NA NA NA 26
6 77 NA NA NA NA 25
6 78 NA NA NA NA 18
6 79 NA NA NA NA 3
6 80 NA NA NA NA 9
7 1 14 18 0 0 7
7 2 11 11 0 0 27
7 3 12 11 0 0 0
7 4 12 12 0 0 22
7 5 12 11 0 0 29
7 6 9 11 0 0 24
7 7 11 12 0 0 0
7 8 4 11 1 0 23
7 9 13 10 0 0 25
7 10 10 16 0 0 22
7 11 3 11 1 0 25
7 12 7 12 1 0 25
7 13 4 11 0 0 24
7 14 8 12 0 0 10
7 15 5 12 0 0 6
7 16 3 8 0 0 0
7 17 8 10 0 0 16
7 18 8 15 0 0 0
7 19 NA NA NA NA 24
7 20 NA NA NA NA 0
7 21 NA NA NA NA 0
7 22 NA NA NA NA 0
7 23 NA NA NA NA 28
7 24 NA NA NA NA 29
7 25 NA NA NA NA 0
7 26 NA NA NA NA 0
7 27 NA NA NA NA 21
7 28 NA NA NA NA 12
7 29 NA NA NA NA 1
7 30 NA NA NA NA 24
7 31 NA NA NA NA 0
7 32 NA NA NA NA 24
7 33 NA NA NA NA 0
7 34 NA NA NA NA 26
7 35 NA NA NA NA 0
7 36 NA NA NA NA 24
7 37 NA NA NA NA 0
7 38 NA NA NA NA 0
7 39 NA NA NA NA 0
7 40 NA NA NA NA 0
7 41 NA NA NA NA 0
7 42 NA NA NA NA 0
7 43 NA NA NA NA 0
7 44 NA NA NA NA 0
7 45 NA NA NA NA 0
7 46 NA NA NA NA 0
7 47 NA NA NA NA 0
7 48 NA NA NA NA 0
7 49 NA NA NA NA 0
7 50 NA NA NA NA 0
7 51 NA NA NA NA 0
7 52 NA NA NA NA 0
7 53 NA NA NA NA 0
7 54 NA NA NA NA 0
7 55 NA NA NA NA 11
7 56 NA NA NA NA 21
7 57 NA NA NA NA 18
7 58 NA NA NA NA 23
7 59 NA NA NA NA 0
7 60 NA NA NA NA 26
7 61 NA NA NA NA 29
7 62 NA NA NA NA 22
7 63 NA NA NA NA 29
7 64 NA NA NA NA 27
7 65 NA NA NA NA 10
7 66 NA NA NA NA 25
7 67 NA NA NA NA 13
7 68 NA NA NA NA 28
7 69 NA NA NA NA 13
7 70 NA NA NA NA 29
7 71 NA NA NA NA 26
7 72 NA NA NA NA 22
7 73 NA NA NA NA 6
7 74 NA NA NA NA 19
7 75 NA NA NA NA 24
7 76 NA NA NA NA 25
7 77 NA NA NA NA 21
7 78 NA NA NA NA 23
7 79 NA NA NA NA 3
7 80 NA NA NA NA 9
8 1 14 15 0 0 10
8 2 10 12 0 0 29
8 3 11 12 0 0 0
8 4 12 12 0 0 22
8 5 10 11 0 0 30
